epoch,loss,accuracy,val_loss,val_accuracy
1,0.10561149545605113,0.982,3.191501239537979,0.72875
2,0.3423671628020365,0.9695,0.7279852853965921,0.92875
3,0.18886058425772428,0.978,0.33498943274941156,0.9625
4,0.1684864393590871,0.978,0.46830944729710133,0.94625
5,0.1889252985791722,0.9775,0.4614507166106651,0.95125
6,0.14930368028354707,0.9765,0.43207249492843514,0.94875
7,0.13160779781541457,0.979,0.32328113208189097,0.95875
8,0.15513271423504477,0.9805,0.2550134928521997,0.97
9,0.12922246183756658,0.9815,0.3867260284570107,0.96
10,0.13882993692371048,0.9795,0.35379986988772416,0.96375
